,verse,citation count,verse texts,filter row
11,Matt 3:3/John 1:23/Mark 1:3/Luke 3:4/Isa 40:3,65,"['jakož psáno jest v knize řečí proroka Isaiáše: „Hlas volajícího na poušti: Připravte cestu Páně, přímé čiňte stezky jeho;', 'Pravil: „Já jsem hlas volajícího na poušti: ,Spravte cestu Páně,‘ jakož pověděl prorok Isaiáš.“', 'jakož psáno jest v knihách řeči Izaiáše Proroka: Hlas volajícího na poušti: Připravůjte cestu Páně: přímé čiňte stezky jeho.', 'Děl: „Já jsem Hlas volajícího na poušti; »Vyrovnejte cestu Páně«, jak řekl prorok Izaiáš.“', 'hlas volajícího na poušti: „Připravte cestu Páně, vyrovnávejte mu stezky“«,', 'Jakož psáno jest v knize proroctví Izaiáše proroka, řkoucího: Hlas volajícího na poušti: Připravujte cestu Páně, přímé čiňte stezky jeho.', 'Řekl: Já hlas volajícího na poušti: Zpravte cestu Páně, jakož pověděl Izaiáš Prorok.']",top 10
12,John 1:1,33,"['Na počátku bylo Slovo, a to Slovo bylo u Boha, a to Slovo byl Bůh.', 'NA počátku bylo Slovo, a Slovo bylo u Boha, a Bůh byl Slovo.', 'Na počátku bylo Slovo, a Slovo bylo u Boha, a Bůh bylo Slovo.']",top 20
13,Phil 4:7,2,"['A pokoj Boží, kterýž převyšuje všeliký smysl, ostříhej srdcí vaších i myslí vaších, v Kristu Ježíši.']",low
14,Matt 10:7,3,"['Jdouce pak kažte, řkouce: že se přiblížilo Království Nebeské.', 'Chodíce pak, hlásejte: ,Přiblížilo se království nebeské.‘']",low
15,Rom 13:11,13,"['A vědouce ten čas: že již hodina jest, abychom ze sna povstali. Neboť nyní bližší jest naše spasení, nežli když sme uvěřili.', 'A to (čiňte) znajíce čas, že totiž jest hodina, abychom již ze spánku povstali: neboť nyní jest blíže naše spása, než (byla) když jsme uvěřili. ']",low
16,Matt 28:20,26,"['Učíce je zachovávati všecko, což jsem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa. Amen.', 'učíce je zachovávati všecko, co jsem přikázal vám; a hle, já jsem s vámi po všecky dni až do skonání světa.“', 'učíce je zachovávati všecko což sem koli přikázal vám. A aj, já s vámi jsem po všecky dny, až do skonání světa.']",top 30
17,Matt 5:3,27,"['Blahoslavení chudí duchem, nebo jejich jest království nebeské.', 'Blahoslavení chudí duchem, neboť jejich jest království nebeské.']",top 30
18,Isa 55:8,1,"['Nejsouť myšlení má, myšlení vaše, ani cesty vaše, cesty mé – dí Pán.']",low
19,Ps 23:4,9,"['Byť mi se dostalo jíti přes údolí stínu smrti, nebuduť se báti zlého, nebo ty se mnou jsi; prut tvůj a hůl tvá, toť mne potěšuje.']",low
20,Jas 1:3,1,"['buďte jisti, že vaše víra, bude-li vytříbením osvědčena, způsobí vytrvalost. ']",low
21,John 16:33,14,"['Tyto věci mluvil jsem vám, abyste ve mně pokoj měli. Na světě ssoužení míti budete, ale doufejtež, jáť jsem přemohl svět.', 'To jsem vám mluvil, abyste ve mně měli pokoj. Ve světě budete míti soužení. Ale buďte zmužilí. Já jsem zvítězil nad světem.“', 'Tyto věci mluvil sem vám, abyste ve mně pokoj měli. Na světě nátisk míti budete: ale doufejte, já sem přemohl svět.']",low
22,John 16:2,14,"['Z náboženské obce své vyloučí vás, ano přichází hodina, že každý, kdo vás zabije, bude se domnívati, že tím Bohu slouží.', 'Ven ze škol vyženou vás. Ale přichází hodina, že každý kdož vás zabije, domnívati se bude, že by tím Bohu sloužil.']",low
23,John 3:17,1,"['Vždyť Bůh neposlal Syna svého na svět, aby soudil svět, nýbrž aby spasen byl svět skrze něho.']",low
24,Matt 5:7,9,"['Blahoslavení milosrdní, neboť oni milosrdenství dojdou.', 'Blahoslavení milosrdní, nebo oni milosrdenství důjdou.']",low
25,Luke 5:26,1,"['Všech se zmocnil úžas a oni velebili Boha, byli naplněni strachem a říkali; „Dnes jsme uviděli neuvěřitelnou věc.“']",low
26,Mark 2:11,9,"['„Tobě pravím: ,Vstaň, vezmi lože své a jdi do domu svého.“']",low
27,Matt 23:23,2,"['Běda vám, pokrytečtí zákoníci a farizeové! Dáváte desátky z máty, z kopru a z kmínu, ale zanedbáváte důležitější předpisy zákona, totiž spravedlnost, milosrdenství a věrnost. Toto je nutno činiti, ale onoho nezanedbávati. -', 'Běda vám, zákonníci a farizeové pokrytci, že dáváte desátky z máty a z kopru a z kmínu, a opouštíte to, což těžšího jest v zákoně, soud a milosrdenství a věrnost. Tyto věci měli jste činiti a oněch neopouštěti.']",low
28,Ezek 20:13,1,"['Ale dům Israelův mne popouzel na poušti, v příkazech mých nechodil, zavrhli má ustanovení, skrze která živ bude člověk činící je; soboty mé poskvrnili náramně; proto řekl jsem, že vyleji hněv svůj na ně na poušti, že je zahladím docela.']",low
29,Gen 2:23,1,"['I řekl Adam: Teď tato jest kost z kostí mých a tělo z těla mého; tato slouti bude mužatka, nebo z muže vzata jest.']",low
30,Acts 19:4,1,"['I řekl Pavel: „Jan křtil křtem pokání, říkaje lidu, aby uvěřili v toho, jenž přijde po něm, to jest v Ježíše.“']",low
31,Acts 8:19,2,"['a řekl: „Dejte i mně tuto moc, aby ten, na koho složím ruce, přijal Ducha svatého.“']",low
32,Acts 19:6,7,"['A když Pavel vložil na ně ruce, přišel na ně Duch svatý; i mluvili jazyky a prorokovali.', 'A když vzkládal na tyto ruce Pavel, sstoupil Duch svatý na ně, i mluvili jazyky, a prorokovali.']",low
33,Matt 27:38,5,"['Potom ukřižovali s ním dva lotry, jednoho na pravici, druhého na levici.', 'Potom s ním byli ukřižováni dva lupiči, jeden po pravici a druhý po levici.']",low
34,Prov 19:17,4,"['Půjčuje Hospodinu, kdo se nad chudým smilovává; a on jemu (co půjčeno) zase vrátí.']",low
35,Amos 8:12,2,"['Tak že toulati se budou od moře až k moři, a od půlnoci až na východ běhati, hledajíce slova Hospodinova, však nenajdou.', 'Budou se hýbati od moře k moři, od severu na východ budou obcházeti, hledajíce slova Hospodinova, ale nenajdou (ho).']",low
36,Jer 9:25,2,"['Aj, dnové jdou, praví Hospodin, v nichž navštívím každého, obřezaného i neobřezaného,']",low
37,Acts 13:22,2,"['Pak jej sesadil a povznesl jim za krále Davida, o němž vydal svědectví: »Nalezl jsem Davida, syna Jesse, muže podle svého srdce, který splní všecku mou vůli.«']",low
38,John 10:16,30,"['Mám ještě jiné ovce, které nejsou z tohoto ovčince; i ty musím přivésti, a hlas můj slyšeti budou, a bude jeden ovčinec a jeden pastýř.', 'A jiné ovce mám, které nejsou z tohoto ovčince: i tyť musím přivesti, a hlas můj slyšeti budou, a bude jeden ovčinec, a jeden Pastýř.', 'Mám i jiné ovce, které nejsou z tohoto ovčince. I ty musím přivésti; uslyší můj hlas, a bude jedno stádo, jeden pastýř. ']",top 20
39,John 3:16,5,"['Nebo tak Bůh miloval svět, že Syna svého jednorozeného dal, aby každý, kdož věří v něho, nezahynul, ale měl život věčný.', 'Neboť tak miloval Bůh svět, že svého jediného Syna dal, aby žádný, kdo v něho věří, nezahynul, ale měl věcný život.', 'Neboť tak Bůh miloval svět, že Syna svého jednorozeného dal, aby nikdo, jenž v něho věří, nezahynul, nýbrž měl život věčný.']",low
40,Luke 10:23,9,"['A obrátiv se k učeníkům svým pravil: „Blahoslavené oči, které vidí, co vy vidíte.', 'A obrátiv se k učedlníkům obzvláštně, řekl: Blahoslavené oči, kteréž vidí, co vy vidíte.']",low
41,Mark 11:10,7,"['Požehnaný, jenž se béře ve jménu páně: Požehnané kteréž přišlo Království otce našeho Davida: Hosanna na výsostech.', 'Požehnané království otce našeho Davida, kteréž přišlo ve jménu Páně. Hosanna na výsostech.']",low
42,Rev 7:9,4,"['Potom sem viděl zástup veliký, kteréhož žádný přečísti nemohl, ze všech národů a pokolení, a lidí, i jazyků: ani stojí před trůnem, a před obličejem Beránka, souce oblečeni v bílá roucha: a palmy v rukou jejich:', 'Potom pohleděl jsem, a aj, zástup veliký, kteréhož by žádný přečísti nemohl, ze všech národů a pokolení a lidí i jazyků, ani stojí před trůnem a před oblíčejem Beránka, oblečeni jsouce v bílé roucho, a palmy v rukou jejich.']",low
43,Luke 23:43,14,"['I řekl mu Ježíš: Amen pravím tobě, dnes budeš semnou v Ráji.', 'I řekl mu Ježíš: Amen pravím tobě, dnes budeš se mnou v ráji.']",low
44,Phil 2:10,3,"['aby ve jménu Ježíše každé koleno klekalo Nebeských, Zemských, i Pekelních;']",low
45,Num 20:6,5,"['Mojžíš a Áron nechavše lid, vešli do stánku úmluvy, padli na tvář až k zemi [a volali k Hospodinu: Hospodine, Bože, uslyš křik tohoto lidu a otevři jim poklad svůj, studnici vody živé, aby, když se napijí, přestali reptati]. Tu se nad nimi ukázala velebnost Hospodinova']",low
46,Ps 118:19,1,"['Otevřetež mi brány spravedlnosti, a vejda do nich, oslavovati budu Hospodina.']",low
47,Luke 9:22,1,['„Syn člověka musí mnoho trpěti a zavržen býti od starších a velekněží i zákoníkův a býti zabit a třetího dne vstáti z mrtvých.“'],low
48,Matt 17:3,1,"['A aj, ukázali se jim Mojžíš a Eliáš, rozmlouvající s ním.']",low
49,Matt 17:4,1,"['Petr pak promluviv řekl Ježíšovi: „Pane, dobře jest nám zde býti; chceš-li, udělejme tu tři stánky, tobě jeden, Mojžíšovi jeden a Eliášovi jeden.“']",low
50,1Sam 21:7,1,"['Toho dne byl tu muž jeden ze služebníků Saulových, uvnitř, ve stánku Hospodinově; a jméno jeho Doeg, Edomec, vrchní Saulových pastýřů. – ']",low
51,1Cor 11:27,1,"['A protož kdokoli jedl by chléb tento, a pil kalich Páně nehodně, vinen bude tělem a krví Páně.']",low
52,Matt 20:23,1,"['Dí jim: „Kalich můj sice píti budete, seděti však na pravici neb na levici mé není mojí věci dáti (vám), nýbrž těm, jimž připraveno jest od Otce mého.“']",low
53,John 15:18,3,"['Jestliže svět vás nenávidí, vězte, že mne nenáviděl prve nežli vás.', 'Jestližeť vás svět nenávidí, víte, žeť mne prvé než vás v nenávisti měl.', '„Nenávidí-li vás svět, považte, že mne měl v nenávisti dříve než vás.']",low
54,Luke 5:23,2,"['Co je snadnější říci: »Tvé hříchy jsou ti odpuštěny«, či říci: »Vstaň a choď«? ', 'Co jest snáze říci: Odpouštějí se tobě hříchové: čili říci: Vstaň, a choď?']",low
55,Dan 14:37,2,"['Daniel řekl: „Rozpomněl ses na mne, Bože, a neopustil jsi milujících tebe!""']",low
56,1Cor 13:5,2,"['není ctižádostivá, nehledá svého prospěchu, neroztrpčuje se, nemyslí o zlém,', 'V nic neslušného se nevydává, nehledá svých věcí, nezpouzí se, neobmýšlí zlého.']",low
57,John 15:5,2,"['Já jsem vinný kmen a vy ratolesti. Kdo zůstává ve mně, a já v něm, ten nese ovoce mnohé; nebo beze mne nic nemůžete učiniti.', 'Já jsem vinný kmen, vy (jste) ratolesti; kdo zůstává ve mně a já v něm, ten přináší ovoce mnoho, neboť beze mne nemůže činiti nic.']",low
58,Exod 12:14,4,"['Den tento bude vám dnem památným; bude vám svátkem na věky, který slaviti budete ve (všech) svých pokoleních.']",low
59,Mark 5:41,3,"['A vzav dívku za ruku, řekl jí: „Talítha, kúmi,“ to jest v překladě: „Dívko, (tobě pravím), vstaň.“']",low
60,Acts 18:17,1,"['A tu všickni uchopili Sostena, představeného synagogy, a bili ho před soudnou stolicí, ale Galllo nic na to nedbal.']",low
61,Matt 18:33,1,"['neměl jsi tedy také ty slitovati se nad spoluslužebníkem svým, jako i já slitoval jsem se nad tebou?‘']",low
62,Matt 5:16,7,"['Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré, a slaví Otce vašeho, kterýž jest v nebesích.', 'Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré a velebí Otce vašeho, jenž jest v nebesích.']",low
63,John 1:19,2,"['A totoť jest svědectví Janovo, když poslali Židé z Jeruzaléma Kněží a Jahny k němu, aby se ho tázali: Ty kdo jsi?']",low
64,John 15:13,5,"['Větší lásky nemá nikdo nad tu, aby kdo položil život svůj za své přátele.', 'Nikdo nemá větší lásky, než je ta, aby někdo položil svůj život za své přátele. ']",low
65,Num 24:17,1,"['Uzřímť jej, ale ne nyní, pohledím na něj, ale ne z blízka. Vyjdeť hvězda z Jákoba, a povstane berla z Izraele, kteráž poláme knížata Moábská, a zkazí všecky syny Set.']",low
66,Matt 2:2,5,"['řkouce: „Kde jest ten novorozený král židovský? Neboť viděli jsme hvězdu jeho na východě, i přišli jsme poklonit se jemu.“', 'řkouce: Kde jest ten kterýž se narodil: Král Židovský? nebo viděli sme hvězdu jeho na Východu, a přijeli sme klaněti se jemu.', 'a ptali se: „Kde je ten narozený král židovský? Viděli jsme totiž jeho hvězdu na východě a přišli jsme se mu poklonit.“']",low
67,Matt 2:8,2,"['A propouštěje je do Betléma, řekl: Jděte, a ptejte se pilně na dítě, a když naleznete, zvěstújtež mi, abych i já přijda klaněl se jemu.']",low
68,Matt 2:11,13,"['I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu.', 'Vešli do domu, uviděli dítě s jeho matkou Marií, padli na tvář a klaněli se mu. Otevřeli své poklady a obětovali mu dary: zlato, kadidlo a myrhu.', 'I všedše do domu, nalezli děťátko s Marií matkou jeho, a padše, klaněli se jemu; a otevřevše poklady své, obětovali jemu dary, zlato a kadidlo a mirru.']",low
69,Rom 8:23,4,"['A nejen ono, nýbrž i my, ač máme prvotiny Ducha, i my sami v sobě sténáme, očekávajíce synovství, (totiž) vykoupení těla svého. ']",low
70,Eph 4:5,2,"['jeden Pán, jedna víra, jeden křest; ']",low
71,Isa 65:17,1,"['Nebo aj, já stvořím nebesa nová a zemi novou, a nebudou připomínány první věci, aniž vstoupí na srdce.']",low
72,2Pet 3:10,2,"['Přijde však den Páně jako zloděj, a v něm nebesa s velikým hukotem pominou, základy pak žárem se rozpustí a země i díla, která jsou na ní, shoří.']",low
73,Luke 21:28,2,"['Když pak se to počne díti, pohleďte vzhůru a pozdvihněte hlav svých, neboť se přibližuje vykoupení vaše.“']",low
74,John 20:22,3,['Po těch slovech na ně dechl a řekl jim: „Přijměte Ducha svatého!'],low
75,Gen 2:18,4,['Hospodin Bůh také řekl: Není dobře člověku býti sám; učiňme mu pomocnici podobnou jemu.'],low
76,Luke 10:27,9,"['On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého.', 'A on odpověděl: „Milovati budeš Pána Boha svého z celého srdce svého a z celé duše své a ze vší síly své i ze vší mysli své, a bližního svého jako sebe samého.“']",low
77,Luke 21:6,32,"['„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“']",top 20
78,Jer 32:41,1,"['Bude mou radostí, když jim budu dobře činiti, a štípiti je budu v zemi této věrně, celým srdcem svým a celou duší svou.']",low
79,Matt 10:37,1,"['Kdo má rád otce nebo matku více než mne, není mne hoden; kdo má rád syna nebo dceru více než mne, není mne hoden;']",low
80,Matt 6:33,28,"['Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno.', 'Hledejte tedy nejprve království Božího a spravedlnosti jeho, a toto všecko bude vám přidáno.', 'Usilujte především o jeho království a spravedlnost, a toto vše vám bude přidáno.']",top 30
81,1Cor 15:54,6,"['Když pak (toto porušitelné tělo obleče neporušítelnost a toto) smrtelné obleče nesmrtelnost, tehdá se naplní to slovo, které jest psáno: „Pohlcena jest smrt ve vítězství.']",low
82,1Cor 15:55,10,"['Kde jest, ó smrti, vítězství tvé? Kde jest, ó smrti, osten tvůj?“', 'Smrti, kde je tvé vítězství? Smrti, kde je tvůj osten?« ']",low
83,Neh 9:17,7,"['A nechtěli slyšeti, a nerozpomenuli se na divné věci tvé kteréž si byl učinil jim. A zatvrdili šíje své, a dali hlavu aby se navrátili k službě své, jako skrze svár. Ty pak Bože milostivý, dobrotivý a milosrdný, dlouho čekající a mnohého smilování neopustil si jich,']",low
84,Luke 8:5,3,"['Vyšel, kterýž rozsívá, aby rozsíval símě své: a když rozsívá jedno padlo podlé cesty: i pošlapáno jest, a ptáci nebeští zzobali je.', '„Vyšel rozsévač, aby rozséval símě své, a když rozséval, některá zrna padla vedle cesty, a byla pošlapána a ptáci nebeští sezobali je.']",low
85,2Tim 2:9,1,['avšak slovo Boží není přivázáno.'],low
86,2Tim 2:8,4,"['Pamatuj na Ježíše Krista, jenž jsa z potomstva Davidova, vstal z mrtvých podle evangelia mého, ve kterém snáším utrpení až do vazby jako zločinec;', 'Pamatuj, že Ježíš Kristus vstal z mrtvých, z semene Davidova, podlé evangelium mého.']",low
87,2Cor 11:23,3,"['Služebníky Kristovými jsou? Jako nesmyslný pravím: Já více. V prácech (jsem býval) přehojně, ve vězeních přehojně, v ranách nad míru, v nebezpečenství smrti častokrát.', 'Jsou služebníci Kristovi? – mluvím v přímém »bláznovství«: – Já jsem víc, já se svou hojnější námahou, s hojnějším vězením, s nesčetnými ranami, s častým nebezpečenstvím smrti. ']",low
88,Acts 2:2,6,"['Tu povstal náhle s nebe hukot, jako když táhne vítr silný, a naplnil dům, kde seděli;', 'I stal se rychle zvuk s nebe, jako valícího se větru prudkého, a naplnil všecken dům, kdež seděli.']",low
89,Acts 2:4,6,"['I naplněni jsou všickni Duchem svatým, a počali mluviti jinými jazyky, jakž ten Duch dával jim vymlouvati.', 'a všickni byli naplněni Duchem svatým a počali mluviti jinými jazyky, jak ten Duch dával jim promlouvati.', 'a naplněni sou všickni Duchem svatým, a počali mluviti rozličnými jazyky, jakž Duch svatý dával jim vymlouvati.']",low
90,Acts 26:25,1,"['Ale Pavel řekl: „Neblázním, velmožný Feste, nýbrž mluvím slova pravdy a střízlivosti.']",low
91,Luke 12:49,2,"['„Oheň na zem pustit jsem přišel, a co chci (jiného), než aby se vznítil?']",low
92,Luke 1:35,3,"['A odpověděv Anjel, řekl jí: Duch svatý stoupí v tě, a moc Nejvyššího zastíní tobě: a protož i to což se z tebe Svatého narodí, slouti bude Syn Boží.', 'A odpověděv anděl, řekl jí: Duch svatý sstoupí v tě, a moc Nejvyššího zastíní tobě; a protož i to, což se z tebe svatého narodí, slouti bude Syn Boží.', 'A odpověděv anděl řekl jí: „Duch svatý sestoupí v tebe, a moc nejvyššího zastíní tě; proto také to svaté, co se z tebe narodí, slouti bude Syn Boží.']",low
93,Luke 23:34,33,"['Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy.', 'Ježíš pak řekl: Otče, odpusť jim: neboť nevědí co činí. Rozdělivše pak roucho jeho, metali losy.', 'Ježíš pak řekl: „Otče, odpusť jim, neboť nevědí, co činí.“ A rozdělujíce si roucha jeho metali (o ně) los', 'Tedy Ježíš řekl: Otče, odpusť jim, neboť nevědí, co činí. A rozdělivše roucho jeho, metali los.']",top 20
94,Acts 7:60,1,"['A poklek na kolena, zvolal hlasem velikým: Pane, nepokládej jim toho za hřích. A to pověděv, usnul.']",low
95,Matt 10:16,4,"['Aj já posílám vás jako ovce mezi vlky: Protož buďte opatrní, jako hadové, a sprostní jako holubice.', '„Hle já posílám vás jako ovce mezi vlky; buďte tedy opatrní jako hadové a prostí jako holubice.']",low
96,2Cor 6:14,4,['Netáhněte jha s nevěřícími. Nebo jaký jest spolek spravedlnosti s nepravostí? A jaké obcování světla s temnostmi?'],low
97,Matt 4:9,19,"['a řekl: „Toto všecko tobě dám, jestliže padna, budeš se mi klaněti.“', 'A řekl jemu: Toto všecko tobě dám, jestliže padna, budeš mi se klaněti.']",low
98,John 13:35,7,"['Po tom poznají všichni, že jste učeníci moji, budete-li míti lásku jedni k druhým.“', 'Po tom poznají všichni, že jste moji učedníci, budete-li míti lásku vespolek.“ ']",low
99,Exod 20:2/Deut 5:6,2,"['Já jsem Hospodin Bůh tvůj, kterýž jsem tě vyvedl z země Egyptské z domu služby.']",low
100,1John 5:7,4,"['Jsou zajisté tři, kteří vydávají svědectví na nebi, Otec, Slovo a Duch svatý; a tito tři jedno jsou;', 'Nebo tří jsou kteříž svědectví vydávají na Nebi: Otec, Slovo, a Duch svatý: a ti tří jedno jsou.']",low
101,Matt 22:39,32,"['Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.', 'Druhé pak jest podobné tomu: Milovati budeš bližního svého, jako sebe samého.', 'Druhý je s ním stejný: Miluj svého bližního jako sebe.']",top 20
102,John 13:34,3,"['Přikázání nové dávám vám, abyste se milovali vespolek; jako jsem já miloval vás, abyste se i vy milovali vespolek.']",low
103,Titus 1:2,3,"['k naději v život věčný, který zaslíbil neklamný Bůh před věčnými časy, -', 'k naději života věčného, kterýž zaslíbil ten, kterýž neklamá, Bůh před časy věků:']",low
104,Matt 25:43,2,"['hostem jsem byl a nepřijali jste mne, nah jsem byl a nepřioděli jste mne, nemocen a v žaláři jsem byl a nenavštívili jste mne.‘']",low
105,John 10:11,25,"['Jáť jsem Pastýř dobrý. Dobry Pastýř duši svou dává za ovce své.', 'Já jsem pastýř dobrý. Dobrý pastýř dává život za ovce své.']",top 30
106,Luke 15:19,1,['již nejsem hoden slouti synem tvým. Učiň mne jako jednoho ze svých dělníků.‘'],low
107,Luke 2:14,97,"['Sláva na výsostech Bohu, a na zemi pokoj, lidem dobrá vůle.', 'Sláva na výsostech Bohu: a na zemi pokoj lidem dobré vůle.', '„Sláva na výsostech Bohu a na zemi pokoj mezi lidmi, jež si Bůh oblibuje.“', '„Sláva na výsostech Bohu a na zemi pokoj lidem zalíbeným.“']",top 10
108,Acts 9:4,9,"['a on pad na zem uslyšel hlas, an k němu praví: „Šavle, Šavle, proč mě pronásleduješ?“', 'A padna na zem uslyšel hlas řkoucí k sobě: Šavle, Šavle, co se mi protivíš?']",low
109,1Kgs 12:4,3,"['Otec tvůj ztížil jho naše; protož nyní polehč služby otce svého tvrdé a břemena jeho těžkého, kteréž vzložil na nás, a budeme tobě sloužiti.', '„Otec tvůj přetěžké jho vložil na nás; proto ty nyní zmírni panování otce svého velmi tvrdé, a jho příliš těžké, které vložil na nás, a budeme sloužiti tobě.""']",low
110,2Chr 10:4,1,"['Otec tvůj stížil jho naše, protož nyní polehč služby otce svého tvrdé a břemene jeho těžkého, kteréž vložil na nás, a budeme tobě sloužiti.']",low
111,Gen 2:9,4,"['A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého.']",low
112,Exod 20:5,4,"['Nebudeš se jim klaněti, aniž (jich) ctíti; jáť jsem Hospodin, Bůh tvůj silný a řevnivý, jenž do třetího a čtvrtého kolena stíhá syny za nepravosti těch otců, kteří mne nenávidí,', 'Nebudeš se jim klaněti, ani jich ctíti. Nebo já jsem Hospodin Bůh tvůj, Bůh silný, horlivý, navštěvující nepravost otců na synech do třetího i čtvrtého pokolení těch, kteříž nenávidí mne,']",low
113,Joel 1:14,1,"['Uložte půst, svolejte shromáždění, shromažďte starší i všecky obyvatele země do domu Hospodina Boha vašeho, a volejte k Hospodinu:']",low
114,Acts 5:29,13,['Petr a apoštolově odpověděli: „Více sluší poslouchati Boha než lidí.'],low
115,John 8:32,2,"['a poznáte pravdu, a pravda vás osvobodí.“', 'A poznáte pravdu, a pravda vás vysvobodí.']",low
116,Sir 34:9,1,"['Kdo není zkušen co umí? Muž v mnohých věcechzkušený, mnohé věci přemejšleti bude: a kdo mnohé věci se naučil, vypravovati bude rozum.']",low
117,Matt 4:11,3,"['Tedy opustil ho ďábel, a aj, andělé přistoupili a sloužili jemu.']",low
118,Matt 4:4,28,"['Kterýž odpovídaje řekl: Psáno-ť jest: Ne samým chlebem živ jest člověk: ale každým slovem kteréž vychází z ust Božích.', 'On pak odpověděl: „Psáno jest: Ne samým chlebem živ jest člověk, nýbrž každým slovem, které vychází z úst Božích.“']",top 30
119,Matt 4:3,2,"['A přistoupiv k němu pokušitel, řekl: Jsi-li Syn Boží, rciž, ať kamení toto chlebové jsou.', 'A přistoupiv pokušitel, řekl jemu: Jsi-li Syn Boží, rciž ať kamení toto chlebové jsou.']",low
120,Luke 4:12,5,['„A Ježíš mu odpověděl: „Jest řečeno: Nebudeš pokoušeti Pána Boha svého.“'],low
121,Matt 4:7,3,['I řekl mu Ježíš: Zase psáno jest: Nebudeš pokoušeti Pána Boha svého.'],low
122,Gal 3:10,1,"['Všichni zajisté, kteří jsou ze skutků zákona, jsou pod zlořečenstvím, neboť jest psáno: „Zlořečen (jest) každý, kdo nesetrvá ve všem, co jest psáno v knize zákona, aby to činil.“']",low
123,John 4:23,2,"['Ale jdeť hodina, a nyníť jest, kdyžto praví modlitebníci modliti se budou Otci v duchu a v pravdě. Neboť takových Otec hledá, aby se modlili jemu.']",low
124,John 4:24,3,"['Bůh duch jest, a ti, kteříž se jemu modlí, v duchu a v pravdě musejí se modliti.']",low
125,Luke 19:46,7,"['řka jim: „Psáno jest: Dům můj jest dům modlitby, vy však jste jej učinili peleší lotrovskou.“', 'Řka jim: Psáno jest: Dům můj dům modlitby jest, vy jste jej pak učinili peleší lotrovskou.', 'řka jim: „Je psáno: »Můj dům má býti domem modlitby«, ale vy jste z něho učinili peleš lupičů.“']",low
126,Luke 11:43,1,"['Běda vám farizeům, nebo milujete první stolice v školách, a pozdravování na rynku.']",low
